iter	Passed	Remaining
297	645	1519
298	647	1518
299	650	1517
300	652	1514
301	654	1512
302	656	1509
303	658	1507
304	660	1505
305	663	1504
306	665	1502
307	667	1499
308	670	1498
309	672	1496
310	674	1493
311	676	1491
312	679	1490
313	680	1487
314	683	1485
315	685	1483
316	687	1481
317	689	1478
318	691	1477
319	694	1475
320	696	1472
321	697	1469
322	699	1466
323	702	1464
324	704	1462
325	706	1460
326	708	1458
327	710	1456
328	712	1453
329	715	1451
330	717	1449
331	719	1448
332	721	1445
333	723	1443
334	725	1440
335	727	1438
336	730	1436
337	732	1433
338	734	1432
339	736	1429
340	738	1427
341	741	1425
342	743	1423
343	745	1420
344	747	1418
345	749	1416
346	751	1414
347	753	1412
348	755	1409
349	757	1407
350	759	1404
351	761	1401
352	763	1399
353	766	1398
354	768	1396
355	770	1393
356	772	1391
357	774	1389
358	776	1387
359	779	1385
360	781	1383
361	783	1381
362	785	1379
363	788	1377
364	791	1376
365	792	1373
366	795	1371
367	796	1368
368	799	1366
369	801	1364
370	803	1362
371	805	1360
372	808	1358
373	810	1356
374	812	1354
375	814	1352
376	816	1349
377	818	1347
378	820	1344
379	822	1342
380	824	1339
381	826	1337
382	828	1334
383	830	1332
384	832	1330
385	834	1327
386	836	1325
387	838	1322
388	840	1320
389	842	1318
390	844	1315
391	847	1313
392	849	1312
393	851	1309
394	853	1306
395	855	1304
396	857	1302
397	859	1299
398	861	1297
399	864	1296
400	866	1294
401	868	1291
402	869	1288
403	871	1286
404	874	1284
405	876	1281
406	878	1279
407	880	1277
408	882	1275
409	884	1272
410	886	1269
411	888	1267
412	890	1265
413	892	1263
414	894	1261
415	897	1259
416	899	1257
417	901	1254
418	903	1252
419	905	1250
420	908	1248
421	910	1247
422	913	1245
423	915	1243
424	917	1241
425	919	1239
426	922	1237
427	924	1235
428	926	1233
429	928	1231
430	930	1229
431	933	1226
432	935	1224
433	937	1222
434	939	1220
435	941	1218
436	944	1216
437	945	1213
438	948	1212
439	951	1211
440	953	1208
441	956	1207
442	958	1204
443	960	1203
444	962	1200
445	965	1198
446	967	1197
447	969	1194
448	971	1192
449	974	1190
450	977	1189
451	979	1186
452	981	1184
453	984	1183
454	986	1181
455	988	1179
456	990	1177
457	993	1175
458	995	1172
459	997	1170
460	999	1168
461	1001	1166
462	1003	1164
463	1006	1162
464	1008	1160
465	1010	1158
466	1012	1156
467	1015	1153
468	1017	1151
469	1019	1149
470	1021	1147
471	1024	1146
472	1026	1143
473	1028	1141
474	1030	1139
475	1033	1137
476	1035	1135
477	1038	1133
478	1040	1132
479	1042	1129
480	1045	1127
481	1047	1125
482	1049	1123
483	1051	1121
484	1053	1119
485	1055	1116
486	1058	1115
487	1061	1113
488	1062	1110
489	1065	1108
490	1066	1106
491	1069	1104
492	1071	1101
493	1073	1099
494	1076	1097
495	1078	1095
496	1080	1093
497	1082	1091
498	1085	1089
499	1087	1087
500	1090	1085
501	1092	1083
502	1094	1081
503	1096	1079
504	1098	1076
505	1100	1074
506	1102	1072
507	1105	1070
508	1107	1068
509	1109	1065
510	1111	1063
511	1113	1061
512	1115	1059
513	1117	1057
514	1119	1054
515	1122	1052
516	1124	1050
517	1126	1048
518	1128	1045
519	1131	1044
520	1133	1042
521	1135	1039
522	1137	1037
523	1140	1035
524	1142	1033
525	1144	1031
526	1146	1028
527	1148	1026
528	1149	1023
529	1152	1021
530	1154	1019
531	1156	1017
532	1158	1015
533	1160	1012
534	1162	1010
535	1164	1008
536	1166	1005
537	1169	1004
538	1171	1002
539	1174	1000
540	1176	998
541	1178	995
542	1181	994
543	1183	991
544	1185	990
545	1188	987
546	1190	985
547	1192	983
548	1194	981
549	1196	978
550	1198	976
551	1201	975
552	1203	972
553	1205	970
554	1207	967
555	1209	965
556	1211	963
557	1213	961
558	1215	958
559	1218	957
560	1220	954
561	1221	952
562	1223	950
563	1226	947
564	1228	945
565	1229	943
566	1232	940
567	1234	938
568	1236	936
569	1238	934
570	1240	931
571	1242	929
572	1244	927
573	1246	924
574	1247	922
575	1250	920
576	1252	918
577	1254	915
578	1256	913
579	1258	910
580	1259	908
581	1261	906
582	1263	903
583	1266	901
584	1267	899
585	1269	897
586	1271	894
587	1273	892
588	1275	890
589	1277	887
590	1279	885
591	1282	883
592	1284	881
593	1286	879
594	1288	876
595	1289	874
596	1291	872
597	1293	869
598	1295	867
599	1298	865
600	1299	862
601	1301	860
602	1303	858
603	1305	856
604	1307	853
605	1309	851
606	1311	848
607	1313	846
608	1315	844
609	1317	842
610	1319	839
611	1321	837
612	1322	835
613	1324	832
614	1326	830
615	1328	828
616	1330	826
617	1332	823
618	1334	821
619	1336	819
620	1338	817
621	1340	814
622	1342	812
623	1344	809
624	1346	807
625	1348	805
626	1350	803
627	1352	800
628	1354	798
629	1356	796
630	1358	794
631	1359	791
632	1361	789
633	1363	787
634	1365	785
635	1367	782
636	1369	780
637	1371	778
638	1373	775
639	1375	773
640	1378	771
641	1383	771
642	1389	771
643	1396	771
644	1400	771
645	1403	769
646	1405	767
647	1408	765
648	1412	763
649	1414	761
650	1416	759
651	1418	757
652	1420	754
653	1422	752
654	1424	750
655	1427	748
656	1429	746
657	1431	743
658	1432	741
659	1435	739
660	1437	737
661	1439	734
662	1441	732
663	1443	730
664	1445	728
665	1447	725
666	1449	723
667	1451	721
668	1453	719
669	1455	716
670	1457	714
671	1459	712
672	1461	710
673	1463	707
674	1466	705
675	1468	703
676	1470	701
677	1472	699
678	1474	696
679	1476	694
680	1477	692
681	1479	690
682	1482	688
683	1484	685
684	1486	683
685	1490	682
686	1492	680
687	1495	678
688	1496	675
689	1499	673
690	1501	671
691	1503	668
692	1505	666
693	1507	664
694	1509	662
695	1511	660
696	1513	657
697	1515	655
698	1517	653
699	1520	651
700	1521	649
701	1524	647
702	1526	644
703	1528	642
704	1530	640
705	1532	638
706	1534	636
707	1537	634
708	1539	631
709	1542	629
710	1543	627
711	1545	625
712	1547	622
713	1549	620
714	1551	618
715	1553	616
716	1555	614
717	1557	611
718	1560	609
719	1562	607
720	1564	605
721	1566	603
722	1568	600
723	1570	598
724	1572	596
725	1574	594
726	1576	592
727	1578	589
728	1581	587
729	1583	585
730	1585	583
731	1586	580
732	1589	578
733	1592	576
734	1594	574
735	1596	572
736	1598	570
737	1600	568
738	1602	565
739	1603	563
740	1606	561
741	1608	559
742	1610	557
743	1612	554
744	1614	552
745	1616	550
746	1618	548
747	1620	546
748	1623	543
749	1625	541
750	1627	539
751	1628	537
752	1631	535
753	1633	532
754	1634	530
755	1639	529
756	1641	527
757	1643	524
758	1645	522
759	1647	520
760	1649	518
761	1651	515
762	1654	513
763	1656	511
764	1658	509
765	1659	507
766	1662	504
767	1664	502
768	1666	500
769	1667	498
770	1670	496
771	1672	493
772	1674	491
773	1675	489
774	1678	487
775	1683	485
776	1685	483
777	1687	481
778	1689	479
779	1691	477
780	1693	474
781	1695	472
782	1697	470
783	1699	468
784	1701	465
785	1703	463
786	1705	461
787	1707	459
788	1708	457
789	1711	454
790	1713	452
791	1715	450
792	1717	448
793	1719	446
794	1721	443
795	1723	441
796	1725	439
797	1727	437
798	1729	435
799	1731	432
800	1733	430
801	1735	428
802	1737	426
803	1739	424
804	1743	422
805	1745	420
806	1747	417
807	1749	415
808	1751	413
809	1753	411
810	1755	409
811	1757	406
812	1759	404
813	1761	402
814	1762	400
815	1764	397
816	1767	395
817	1769	393
818	1771	391
819	1773	389
820	1775	387
821	1777	384
822	1779	382
823	1781	380
824	1784	378
825	1786	376
826	1788	374
827	1789	371
828	1791	369
829	1793	367
830	1796	365
831	1797	362
832	1800	360
833	1801	358
834	1803	356
835	1805	354
836	1808	352
837	1809	349
838	1811	347
839	1813	345
840	1815	343
841	1818	341
842	1820	338
843	1822	336
844	1824	334
845	1826	332
846	1828	330
847	1830	328
848	1832	325
849	1834	323
850	1836	321
851	1838	319
852	1841	317
853	1843	315
854	1845	312
855	1847	310
856	1859	310
857	1861	308
858	1863	305
859	1865	303
860	1867	301
861	1869	299
862	1872	297
863	1874	295
864	1876	292
865	1878	290
866	1880	288
867	1883	286
868	1885	284
869	1887	282
870	1889	279
871	1891	277
872	1893	275
873	1895	273
874	1898	271
875	1899	268
876	1901	266
877	1903	264
878	1905	262
879	1907	260
880	1909	257
881	1910	255
882	1913	253
883	1915	251
884	1917	249
885	1918	246
886	1921	244
887	1922	242
888	1924	240
889	1926	238
890	1928	235
891	1930	233
892	1932	231
893	1934	229
894	1936	227
895	1938	224
896	1940	222
897	1941	220
898	1943	218
899	1946	216
900	1948	214
901	1949	211
902	1951	209
903	1954	207
904	1955	205
905	1957	203
906	1959	200
907	1962	198
908	1963	196
909	1965	194
910	1967	192
911	1969	190
912	1971	187
913	1972	185
914	1974	183
915	1976	181
916	1980	179
917	1982	177
918	1984	174
919	1986	172
920	1988	170
921	1990	168
922	1992	166
923	1994	164
924	1996	161
925	1998	159
926	2000	157
927	2002	155
928	2004	153
929	2006	151
930	2008	148
931	2011	146
932	2013	144
933	2014	142
934	2016	140
935	2019	138
936	2020	135
937	2022	133
938	2024	131
939	2027	129
940	2029	127
941	2031	125
942	2033	122
943	2036	120
944	2038	118
945	2040	116
946	2042	114
947	2044	112
948	2046	109
949	2048	107
950	2051	105
951	2053	103
952	2054	101
953	2056	99
954	2059	97
955	2061	94
956	2063	92
957	2064	90
958	2067	88
959	2069	86
960	2071	84
961	2072	81
962	2075	79
963	2077	77
964	2079	75
965	2081	73
966	2083	71
967	2085	68
968	2087	66
969	2089	64
970	2091	62
971	2093	60
972	2095	58
973	2097	55
974	2099	53
975	2101	51
976	2103	49
977	2106	47
978	2108	45
979	2112	43
980	2114	40
981	2116	38
982	2118	36
983	2120	34
984	2122	32
985	2124	30
986	2126	28
987	2128	25
988	2129	23
989	2131	21
990	2133	19
991	2135	17
992	2137	15
993	2138	12
994	2141	10
995	2142	8
996	2144	6
997	2146	4
998	2148	2
999	2150	0
