iter	Passed	Remaining
0	1	1937
1	3	1892
2	5	1821
3	7	1868
4	10	1999
5	11	1959
6	13	1917
7	15	1880
8	17	1906
9	19	1932
10	21	1904
11	22	1886
12	25	1913
13	27	1908
14	29	1906
15	30	1899
16	32	1904
17	34	1904
18	36	1888
19	38	1880
20	40	1873
21	42	1886
22	44	1876
23	45	1866
24	47	1854
25	49	1855
26	51	1858
27	53	1852
28	55	1842
29	57	1852
30	59	1851
31	61	1848
32	62	1840
33	64	1844
34	66	1833
35	68	1827
36	69	1819
37	71	1811
38	73	1818
39	75	1812
40	77	1806
41	78	1798
42	80	1798
43	82	1794
44	84	1786
45	85	1779
46	87	1774
47	89	1780
48	91	1775
49	93	1770
50	94	1766
51	96	1764
52	98	1764
53	100	1760
54	102	1757
55	104	1753
56	106	1762
57	108	1761
58	110	1760
59	112	1755
60	114	1757
61	116	1755
62	117	1751
63	119	1749
64	122	1756
65	123	1753
66	125	1749
67	127	1749
68	129	1749
69	131	1746
70	133	1742
71	134	1739
72	137	1740
73	138	1738
74	140	1735
75	142	1733
76	144	1729
77	146	1730
78	148	1729
79	150	1726
80	151	1723
81	154	1727
82	156	1726
83	158	1723
84	159	1720
85	161	1720
86	163	1719
87	165	1717
88	167	1714
89	169	1711
90	171	1714
91	173	1711
92	175	1708
93	176	1705
94	179	1706
95	181	1705
96	182	1703
97	184	1699
98	186	1701
99	188	1699
100	190	1697
101	192	1694
102	194	1697
103	196	1694
104	198	1693
105	200	1690
106	202	1689
107	204	1689
108	206	1686
109	208	1684
110	210	1683
111	212	1683
112	214	1682
113	216	1683
114	219	1690
115	221	1687
116	223	1684
117	225	1682
118	228	1688
119	229	1685
120	232	1688
121	235	1693
122	237	1696
123	239	1693
124	241	1692
125	243	1691
126	245	1689
127	247	1686
128	249	1685
129	252	1688
130	254	1686
131	256	1684
132	258	1682
133	260	1681
134	262	1678
135	264	1680
136	267	1683
137	269	1685
138	271	1683
139	273	1681
140	276	1682
141	278	1680
142	280	1678
143	282	1677
144	284	1677
145	286	1674
146	288	1673
147	290	1672
148	292	1671
149	294	1670
150	297	1670
151	299	1669
152	301	1667
153	303	1668
154	305	1666
155	307	1665
156	309	1663
157	312	1662
158	313	1659
159	317	1667
160	324	1691
161	337	1745
162	341	1753
163	343	1752
164	345	1749
165	349	1758
166	352	1760
167	354	1758
168	357	1755
169	359	1753
170	361	1752
171	363	1751
172	366	1750
173	368	1749
174	370	1748
175	373	1746
176	375	1744
177	377	1741
178	379	1739
179	381	1738
180	383	1735
181	385	1733
182	387	1729
183	389	1727
184	391	1724
185	393	1722
186	396	1721
187	398	1720
188	400	1719
189	402	1715
190	404	1713
191	406	1712
192	408	1709
193	410	1706
194	412	1704
195	415	1704
196	417	1700
197	419	1697
198	421	1695
199	423	1692
200	425	1690
201	427	1689
202	430	1689
203	433	1690
204	434	1686
205	437	1686
206	439	1682
207	441	1680
208	443	1677
209	445	1677
210	448	1675
211	450	1672
212	451	1669
213	454	1667
214	455	1664
215	457	1661
216	460	1661
217	462	1660
218	466	1662
219	468	1661
220	470	1659
221	472	1656
222	474	1654
223	477	1653
224	479	1652
225	482	1651
226	484	1650
227	486	1647
228	488	1646
229	491	1644
230	493	1643
231	495	1640
232	497	1639
233	500	1638
234	502	1636
235	504	1634
236	507	1632
237	509	1631
238	512	1630
239	514	1628
240	516	1626
241	518	1624
242	520	1622
243	522	1619
244	525	1618
245	527	1617
246	529	1615
247	531	1612
248	533	1610
249	535	1607
250	538	1606
251	540	1604
252	542	1602
253	544	1600
254	547	1598
255	549	1597
256	551	1594
257	554	1594
258	556	1592
259	559	1591
260	561	1590
261	564	1589
262	566	1586
263	568	1583
264	570	1582
265	572	1580
266	575	1579
267	577	1577
268	580	1576
269	582	1574
270	584	1571
271	586	1569
272	588	1566
273	590	1564
274	593	1564
275	595	1562
276	597	1559
277	600	1559
278	602	1557
279	605	1555
280	607	1553
281	609	1551
282	611	1549
283	613	1547
284	616	1545
285	618	1543
286	620	1540
287	622	1539
288	624	1537
289	626	1534
290	629	1533
291	632	1532
292	634	1530
293	636	1528
294	638	1526
295	641	1524
296	643	1522
