iter	MultiClass
0	2.189958394
1	2.091700803
2	1.992891877
3	1.896061007
4	1.817604395
5	1.735554544
6	1.657485516
7	1.575989299
8	1.512647003
9	1.450249685
10	1.383070526
11	1.318473243
12	1.270920996
13	1.223581221
14	1.182775401
15	1.12829371
16	1.08735281
17	1.045328954
18	1.009289537
19	0.9743306758
20	0.9481244375
21	0.9150400538
22	0.8858293426
23	0.8604866326
24	0.8341781732
25	0.8094579758
26	0.7866703243
27	0.7642629636
28	0.7415067743
29	0.7202439775
30	0.7017777882
31	0.6854439679
32	0.6689289725
33	0.6506418027
34	0.6353753126
35	0.6203124226
36	0.6016020142
37	0.5886942525
38	0.5734497242
39	0.5589215238
40	0.5468996035
41	0.5348532008
42	0.5226930809
43	0.5113249852
44	0.5009281874
45	0.4919072365
46	0.4800821541
47	0.4698334608
48	0.4596607633
49	0.4498192749
50	0.4405180918
51	0.4311460763
52	0.4220894603
53	0.4127914923
54	0.4049893966
55	0.3960555036
56	0.3877646116
57	0.3797700267
58	0.372846154
59	0.3645919359
60	0.358559721
61	0.3521354729
62	0.3453352387
63	0.3402762384
64	0.335776532
65	0.329771637
66	0.3241407608
67	0.31870101
68	0.3130590039
69	0.3082245459
70	0.3030252892
71	0.2975438547
72	0.293027994
73	0.2881782937
74	0.2847551935
75	0.2801664473
76	0.2747338624
77	0.2702738477
78	0.2659989289
79	0.2626466583
80	0.2595011262
81	0.2554341391
82	0.2515740719
83	0.2483753247
84	0.2444174408
85	0.2407776289
86	0.2370824387
87	0.2329102046
88	0.2294139467
89	0.2260209953
90	0.222280367
91	0.2200210244
92	0.2167933946
93	0.2142798403
94	0.2115765425
95	0.2083828754
96	0.20549145
97	0.2032496463
98	0.2008424445
99	0.198283018
100	0.1962691147
101	0.1937536859
102	0.1912735849
103	0.1888623766
104	0.1866542308
105	0.1845893282
106	0.1825992812
107	0.180102349
108	0.1777049262
109	0.1756148737
110	0.1730392004
111	0.1710821008
112	0.1692160424
113	0.1672501464
114	0.1652196588
115	0.163034229
116	0.1607254453
117	0.1588581886
118	0.1568975088
119	0.1548028793
120	0.1531658903
121	0.1514480805
122	0.1498620681
123	0.1484255444
124	0.146689297
125	0.1454150386
126	0.1437775273
127	0.1421406628
128	0.1409871195
129	0.1393675881
130	0.1380187714
131	0.1366846351
132	0.1349677399
133	0.1337553413
134	0.1322647642
135	0.1308834358
136	0.1296806446
137	0.1282297702
138	0.1274060506
139	0.1262492664
140	0.1250569112
141	0.1243593709
142	0.122964057
143	0.1215742407
144	0.1203267445
145	0.1189195418
146	0.1178717831
147	0.1167655256
148	0.1159832612
149	0.1149748284
150	0.1141009957
151	0.1129602265
152	0.1119561182
153	0.1111911418
154	0.1102655316
155	0.1093664892
