iter	MultiClass
0	1.717254707
1	1.569391533
2	1.461471567
3	1.375881497
4	1.305008973
5	1.24266619
6	1.188670165
7	1.145118708
8	1.104738527
9	1.069720715
10	1.039386788
11	1.012320646
12	0.9892371057
13	0.9696158073
14	0.9497689406
15	0.9323323679
16	0.9165803412
17	0.9031097555
18	0.8900447938
19	0.8769048574
20	0.8642378773
21	0.8565885198
22	0.8476167964
23	0.8394031651
24	0.8304972376
25	0.8234813066
26	0.8167897545
27	0.8088815361
28	0.8033992013
29	0.7972939162
30	0.7922396033
31	0.7846353062
32	0.7801241549
33	0.7742324159
34	0.7708596055
35	0.7651502425
36	0.7614920022
37	0.7571556929
38	0.7541928802
39	0.7499652944
40	0.7478277271
41	0.7441215767
42	0.7411205702
43	0.7383669371
44	0.7362018276
45	0.7329524355
46	0.7292084621
47	0.726602584
48	0.7238253721
49	0.7217291626
50	0.719606419
51	0.7169821003
52	0.7135577331
53	0.7109128631
54	0.7089323764
55	0.7063572595
56	0.7046738465
57	0.70212754
58	0.6991049441
59	0.6976133129
60	0.6952665431
61	0.6933053754
62	0.6916187071
63	0.6893302975
64	0.6868631339
65	0.6839859644
66	0.6826177404
67	0.6797668144
68	0.67802902
69	0.6759316942
70	0.6741103783
71	0.6719548556
72	0.6698972974
73	0.669334582
74	0.6677987379
75	0.6662449879
76	0.6641528589
77	0.6620677985
78	0.6601159645
79	0.6590732392
80	0.6578372818
81	0.6566038471
82	0.6549435705
83	0.6535950888
84	0.6519664211
85	0.6503723359
86	0.6497637072
87	0.6482120231
88	0.646305616
89	0.6449340261
90	0.6430919164
91	0.6416967292
92	0.6411627128
93	0.6398238528
94	0.6381682801
95	0.6361476162
96	0.6350719499
97	0.6335574816
98	0.6326068935
99	0.6315027687
