iter	Passed	Remaining
0	52	5167
1	101	4966
2	149	4842
3	196	4712
4	242	4611
5	287	4506
6	338	4492
7	383	4411
8	433	4381
9	483	4348
10	530	4288
11	575	4219
12	621	4161
13	670	4120
14	714	4046
15	754	3962
16	800	3906
17	849	3870
18	887	3785
19	929	3718
20	971	3656
21	1015	3600
22	1057	3541
23	1101	3487
24	1146	3440
25	1187	3379
26	1229	3323
27	1273	3275
28	1324	3242
29	1369	3195
30	1411	3141
31	1455	3093
32	1498	3043
33	1542	2995
34	1588	2949
35	1644	2923
36	1691	2879
37	1736	2833
38	1777	2779
39	1823	2735
40	1867	2687
41	1914	2643
42	1963	2603
43	2007	2555
44	2052	2509
45	2094	2458
46	2141	2415
47	2184	2366
48	2228	2319
49	2272	2272
50	2315	2225
51	2360	2179
52	2398	2127
53	2443	2081
54	2480	2029
55	2518	1979
56	2560	1931
57	2602	1884
58	2644	1838
59	2689	1793
60	2742	1753
61	2796	1713
62	2840	1668
63	2882	1621
64	2925	1575
65	2968	1529
66	3013	1484
67	3057	1438
68	3093	1389
69	3133	1343
70	3174	1296
71	3216	1250
72	3258	1205
73	3298	1159
74	3339	1113
75	3383	1068
76	3428	1024
77	3469	978
78	3510	933
79	3548	887
80	3592	842
81	3639	798
82	3678	753
83	3719	708
84	3761	663
85	3806	619
86	3846	574
87	3884	529
88	3926	485
89	3964	440
90	4004	396
91	4043	351
92	4079	307
93	4123	263
94	4166	219
95	4214	175
96	4254	131
97	4291	87
98	4332	43
99	4378	0
