iter	MultiClass
0	1.678908235
1	1.506552904
2	1.37923878
3	1.281691301
4	1.202797737
5	1.139073539
6	1.082935579
7	1.036406171
8	0.9952051948
9	0.960684895
10	0.9281487505
11	0.8996456933
12	0.8761369936
13	0.852708392
14	0.8325145777
15	0.8164832221
16	0.8002911695
17	0.784849469
18	0.7724705757
19	0.7604893913
20	0.7487016421
21	0.7382497482
22	0.7300878771
23	0.7206527549
24	0.7130547402
25	0.7067630891
26	0.7005306485
27	0.6941745446
28	0.6879276992
29	0.6830672134
30	0.6774735397
31	0.6721907776
32	0.6684125748
33	0.6647812359
34	0.6617281668
35	0.6570852014
36	0.6531939249
37	0.6496362403
38	0.6464796343
39	0.6428405324
40	0.6397954654
41	0.6369391816
42	0.6336278702
43	0.6302062583
44	0.6270739078
45	0.6247167656
46	0.6218760751
47	0.6192933285
48	0.6165934203
49	0.6144746049
50	0.6127938004
51	0.6109365523
52	0.6090056641
53	0.6069967307
54	0.6056865351
55	0.6041135179
56	0.6016973329
57	0.599743972
58	0.5976809118
59	0.5953782545
60	0.5931405181
61	0.5916014546
62	0.5897448371
63	0.5886710207
64	0.5870970513
65	0.5860289876
66	0.5843975335
67	0.583326008
68	0.5821288114
69	0.5809313254
70	0.5797430196
71	0.5782202733
72	0.5768537326
73	0.5757054143
74	0.5746639603
75	0.5727447908
76	0.5713717747
77	0.5703059537
78	0.5688850677
79	0.5681243115
80	0.5664688888
81	0.5642333273
82	0.562764915
83	0.5615542103
84	0.5606275841
85	0.5589376575
86	0.5581536837
87	0.5574636359
88	0.556438011
89	0.55570101
90	0.5542792543
91	0.5529419744
92	0.5524937399
93	0.5508237294
94	0.5496601431
95	0.5489038693
96	0.5478767377
97	0.5470929491
98	0.5459880048
99	0.5446504284
